Date,Open,High,Low,Close,Volume,Adj Close
1990-09-07,35.5,36.75,35.13,36.38,2098800,8.29
1990-09-10,37,37,35.75,35.75,2732400,8.15
1990-09-11,36,36.13,33.75,34,6370800,7.75
1990-09-12,34.5,34.5,33.5,34,3600800,7.75
1990-09-13,34.5,34.75,33,33.75,3492400,7.69
1990-09-14,33.5,34.25,33.25,34,4084400,7.75
1990-09-17,34,35.25,33.5,33.75,2782000,7.69
1990-09-18,33.75,33.75,33,33.38,4456400,7.61
1990-09-19,33.25,33.75,32,32.5,6536800,7.41
1990-09-20,32.25,32.25,31.25,31.62,3607600,7.21
1990-09-21,32,32.5,31,31.5,5503600,7.18
1990-09-24,31.5,31.5,29.75,30.25,4961200,6.89
1990-09-25,30.5,30.75,29.25,30,5642000,6.84
1990-09-26,30,30.5,29.75,29.75,3363200,6.78
1990-09-27,30,30.5,28,28.25,5085600,6.44
1990-09-28,28.5,29,27.25,29,6291200,6.61
1990-10-01,29.5,31,29.25,30.5,5581200,6.95
1990-10-02,31,32,29.5,29.62,9699200,6.75
1990-10-03,29.75,29.75,26.75,27,9591200,6.15
1990-10-04,26.75,28,26.25,28,7638800,6.38
1990-10-05,27,28.75,27,28,3572000,6.38
1990-10-08,28.75,29.25,28.25,29.12,2218800,6.64
1990-10-09,28.5,29,27.75,28,4321200,6.38
1990-10-10,27.25,28,26,26.5,5283600,6.04
1990-10-11,26.75,27.87,25.5,27.75,7376800,6.32
1990-10-12,28.25,28.5,27,28.25,8169200,6.44
1990-10-15,28.5,28.75,26.62,27.75,7190000,6.32
1990-10-16,27.5,27.5,24.25,25,10913200,5.7
1990-10-17,25.25,26.5,25,26.5,11059200,6.04
1990-10-18,26.5,28.75,26.5,28.5,11255600,6.49
1990-10-19,31.25,31.75,30.25,31.37,33363200,7.15
1990-10-22,31.5,31.5,30.5,31.12,9041200,7.09
1990-10-23,31,31.5,30.25,31,5969200,7.06
1990-10-24,30.75,31,30,30.5,5079200,6.95
1990-10-25,30.25,31.25,29.62,30,5481200,6.84
1990-10-26,29.75,31.25,29.75,30,4811200,6.84
1990-10-29,30.25,30.5,29.75,29.87,4415600,6.81
1990-10-30,29.75,30.75,28.87,30.37,3513600,6.92
1990-10-31,30.5,31.87,30.25,30.75,5331200,7.01
1990-11-01,30.5,31,29.75,30.5,3258800,6.95
1990-11-02,30.5,32.38,30.5,31.75,5323200,7.24
1990-11-05,32.25,33.5,32,33.25,6604400,7.58
1990-11-06,33.5,34.5,33.25,33.5,6620800,7.63
1990-11-07,33.5,33.75,32.63,33.25,7254400,7.58
1990-11-08,33,35,33,34.5,7136400,7.86
1990-11-09,35,35.75,34.5,35.5,7102000,8.09
1990-11-12,35.5,36.75,35.25,36.25,5192000,8.26
1990-11-13,36.25,36.5,35.75,36,5086400,8.2
1990-11-14,35.75,37.25,35.75,37,6819200,8.43
1990-11-15,36.75,37,35.5,36,5787600,8.2
1990-11-16,35.75,36,34.75,35.13,6545200,8.03
1990-11-19,35.5,36.38,35.25,36.38,8017600,8.32
1990-11-20,36.5,36.75,35.25,35.5,5490800,8.12
1990-11-21,35.25,36.25,34.75,36.13,4400800,8.26
1990-11-23,36.25,37,36,36.38,1911200,8.32
1990-11-26,36,37,36,36.75,2925600,8.4
1990-11-27,37,38.25,36.75,37.5,5899200,8.57
1990-11-28,37.75,38.5,36.75,36.75,6250800,8.4
1990-11-29,37,37,36.25,36.75,4528000,8.4
1990-11-30,36.25,37.25,36.25,36.75,4350800,8.4
1990-12-03,37.25,38.25,37,38.13,5922400,8.72
1990-12-04,37.5,38.75,37.5,38.5,5453200,8.8
1990-12-05,38.5,40.25,37.88,40.13,7822000,9.18
1990-12-06,41.25,41.75,40.5,41.25,19013600,9.43
1990-12-07,41,42.75,41,42.5,11781200,9.72
1990-12-10,42.25,42.5,41.5,41.75,8966400,9.55
1990-12-11,41.25,41.5,40,40,12438000,9.15
1990-12-12,39.75,40,39,39.63,8664400,9.06
1990-12-13,39.5,41,39.5,40.75,5752000,9.32
1990-12-14,40.25,40.5,39.5,39.88,3126400,9.12
1990-12-17,39,40.5,39,40.13,4683600,9.18
1990-12-18,41,42.5,40.75,42.25,7899200,9.66
1990-12-19,42.5,42.5,41.13,41.88,5036800,9.58
1990-12-20,41.25,44.5,41.25,44,14326400,10.06
1990-12-21,44.25,45.25,43.5,45,12363200,10.29
1990-12-24,44.75,45,44,44,2106800,10.06
1990-12-26,44,44.25,43,43.75,3682000,10
1990-12-27,43.25,44,43.25,43.5,3492000,9.95
1990-12-28,43.25,43.5,42.75,43,2285200,9.83
1990-12-31,43,43.25,42.75,43,1593200,9.83
1991-01-02,42.75,44,42,43.5,5543600,9.95
1991-01-03,43.5,44.25,43,43,5365600,9.83
1991-01-04,43,44.25,43,43.25,5062400,9.89
1991-01-07,43,45.25,43,43.25,11111200,9.89
1991-01-08,43.75,43.88,42.5,43.25,7816400,9.89
1991-01-09,44.25,46,43.75,45.25,16692400,10.35
1991-01-10,45.75,47.25,45.75,47.13,15562400,10.78
1991-01-11,47,47.25,46,47,11003200,10.75
1991-01-14,46,46.75,46,46.25,7535600,10.58
1991-01-15,46.5,46.75,46,46.75,6870000,10.69
1991-01-16,47,50,46.75,49.75,13968800,11.38
1991-01-17,52.5,52.75,49,51.25,21137600,11.72
1991-01-18,48.75,50.75,48.5,50.25,33691200,11.49
1991-01-21,49.75,51.5,49.75,50.75,11595200,11.6
1991-01-22,51,52.5,50.5,51.25,15296400,11.72
1991-01-23,51.25,52.25,51,51.75,8725600,11.83
1991-01-24,51.5,52.75,51.5,52.13,8374400,11.92
1991-01-25,52,53.63,52,53.5,8012000,12.23
1991-01-28,53.25,55.25,53.25,54.5,9771200,12.46
1991-01-29,54.25,54.5,52.25,53.75,7708800,12.29
1991-01-30,53.25,55.75,53.25,55.5,12043200,12.69
1991-01-31,55.5,56,54.75,55.5,8677600,12.69
1991-02-01,55.5,57.88,55.5,55.75,15897600,12.75
1991-02-04,55.75,56,55,55.25,9569200,12.63
1991-02-05,55.25,58,54.75,57.75,12740000,13.2
1991-02-06,57.75,58.25,56.5,56.88,7965200,13.01
1991-02-07,57,58.75,55.75,57.75,18587600,13.2
1991-02-08,57.5,60.25,57.5,59.88,11220000,13.69
1991-02-11,60,61.5,59.75,61.38,11546400,14.03
1991-02-12,61,61.25,59.38,60,8042000,13.72
1991-02-13,60,60.25,58,60,9130800,13.72
1991-02-14,60,60,56.75,57.13,13493200,13.06
1991-02-15,57.25,58.5,57.25,57.63,13067600,13.2
1991-02-19,57.5,60.25,57.38,60,8080800,13.75
1991-02-20,59.5,61.75,59.25,61,7646800,13.98
1991-02-21,61.25,62.25,58.75,59,6826400,13.52
1991-02-22,59,61.75,58.5,59.75,8320800,13.69
1991-02-25,60.25,60.5,57.5,58,12848800,13.29
1991-02-26,57.5,58.75,56.5,58.25,8934400,13.35
1991-02-27,58.25,58.5,57.5,58.25,6243200,13.35
1991-02-28,58.25,58.5,56.25,57.25,8120000,13.12
1991-03-01,57,59,57,57.75,4518800,13.23
1991-03-04,58,58.75,57,58.38,3175600,13.38
1991-03-05,59,63.25,59,63.13,15769200,14.47
1991-03-06,64,65.62,62.88,63,18731200,14.44
1991-03-07,63.5,67.5,63.25,67.25,11497600,15.41
1991-03-08,67.75,68.25,65,65,11522400,14.89
1991-03-11,64.5,64.75,62.25,63.5,6276400,14.55
1991-03-12,63,63.75,62.5,62.88,8360000,14.41
1991-03-13,62.75,66.5,62.75,66.25,6253200,15.18
1991-03-14,66.75,67.5,64.5,65.25,8126400,14.95
1991-03-15,65.75,66.5,65.25,66.25,7335600,15.18
1991-03-18,65.75,68.25,65.75,67.75,7645200,15.52
1991-03-19,66.5,70.25,65.75,69.5,15100000,15.92
1991-03-20,69.25,69.5,66.87,67.75,12939200,15.52
1991-03-21,68.25,68.75,63.75,64.75,10600000,14.84
1991-03-22,64,64.75,62.25,63.25,12096400,14.49
1991-03-25,63.5,65,63.25,64.5,4858800,14.78
1991-03-26,64.75,70.25,64.75,70,11935200,16.04
1991-03-27,70,70.25,68.5,69.25,6812400,15.87
1991-03-28,69.25,70,67.75,68,2816800,15.58
1991-04-01,68,69.5,67.5,68.5,4218000,15.7
1991-04-02,69,72.75,68.5,72.75,10473600,16.67
1991-04-03,72.5,72.75,70,70,8585200,16.04
1991-04-04,70,72,69.5,71.5,6024400,16.38
1991-04-05,71.75,71.75,68.75,69.37,5567600,15.89
1991-04-08,69.25,70,68.75,70,2604400,16.04
1991-04-09,69.75,70,68.25,68.75,4280800,15.75
1991-04-10,68.5,69.25,66.75,66.87,7733600,15.32
1991-04-11,67.75,71.37,67.5,71,12710800,16.27
1991-04-12,71.5,73.25,69.75,71.75,13140000,16.44
1991-04-15,61.75,64.5,60,62.25,60732400,14.26
1991-04-16,63.25,64.5,62.5,64.25,22176800,14.72
1991-04-17,65,65,62,63.25,11533600,14.49
1991-04-18,62.75,63,60.75,61,8853600,13.98
1991-04-19,61,61.5,59.5,59.63,10272400,13.66
1991-04-22,59.5,62,58.75,61.5,9190000,14.09
1991-04-23,62.25,63,60.25,61.5,8494400,14.09
1991-04-24,61.75,62,60.5,60.75,3769200,13.92
1991-04-25,59.75,59.75,58.5,58.5,11276800,13.4
1991-04-26,58.5,59,57.75,58.63,4481200,13.43
1991-04-29,58.5,60.25,58.25,58.25,7395200,13.35
1991-04-30,57.75,58.25,54.5,55,25413600,12.6
1991-05-01,48,49,47,47.25,66732000,10.83
1991-05-02,47.75,49.75,47.5,49,28973600,11.23
1991-05-03,49,49.5,48.25,49,8717600,11.23
1991-05-06,48.5,50.5,48.25,50.25,7596400,11.51
1991-05-07,51,51.25,50.5,50.63,9671200,11.6
1991-05-08,50.75,50.75,49.25,49.75,6332400,11.4
1991-05-09,50,51.5,49.75,50.75,8523200,11.63
1991-05-10,51.5,53.25,50.75,51.25,8652000,11.74
1991-05-13,52.25,53.5,51.5,52.75,8763600,12.09
1991-05-14,52.75,53.75,52.5,53.5,7763600,12.26
1991-05-15,51.5,52,49,50.5,18530800,11.57
1991-05-16,51,51.25,48.5,49,13652000,11.23
1991-05-17,48.75,48.75,46.5,47,16836800,10.77
1991-05-20,47.25,47.5,44,44.25,9365200,10.17
1991-05-21,45.25,46.5,44.75,45.25,12500000,10.39
1991-05-22,45.75,46.5,45.5,46.25,8137600,10.62
1991-05-23,46.5,46.75,44.75,45.13,7458800,10.37
1991-05-24,45.5,46,45,45.88,3484800,10.54
1991-05-28,46,46.25,45.25,46,6124400,10.57
1991-05-29,46.25,47.75,45.88,47,13733600,10.8
