Date,KLCI_Close,AMM_Close,Astro_Close,Axiata_Close,Roth_Close,Cimb_Close,Digi_Close,Fgv_Close,Gent_Close,Genm_Close,Hlbk_Close,Hlfg_Close,Ihh_Close,Ioi_Close,Klk_Close,Misc_Close,May_Close,Maxis_Close,Pep_Close,Pchem_Close,Petd_Close,Ptg_Close,Pbk_Close,Rhbc_Close,Sakp_Close,Sime_Close,T_Close,Tnb_Close,Uems_Close,Umwh_Close,Ytl_Close
2013-01-02,1674.72,6.67,2.93,6.58,62,7.6,5.2,4.61,9.29,3.57,14.66,13.62,3.4,5.07,22.68,4.1,9.03,6.61,12,6.27,23.28,19.08,16.16,7.65,3.02,9.46,5.96,6.9,2.15,11.96,1.84
2013-01-03,1692.65,6.7,2.94,6.81,61.46,7.64,5.31,4.61,9.5,3.67,14.78,13.96,3.44,5.1,22.8,4.11,9.04,6.6,12.48,6.28,23.28,19.28,16.2,7.77,3.1,9.59,5.96,6.94,2.2,12.5,1.84
2013-01-04,1692.58,6.64,2.98,6.74,61.48,7.65,5.23,4.61,9.51,3.69,14.86,14,3.45,5.17,22.82,4.06,9.06,6.59,13,6.32,23.12,19.2,16.14,7.77,3.09,9.71,5.94,6.91,2.19,12.22,1.85
2013-01-07,1694.16,6.65,3,6.71,60.14,7.65,5.24,4.6,9.7,3.74,14.86,14.24,3.43,5.19,22.94,4.15,9.06,6.58,13.02,6.31,22.98,19.1,16.18,7.9,3.08,9.65,5.88,6.94,2.19,12.46,1.84
2013-01-08,1688.91,6.64,3.02,6.69,60.5,7.63,5.22,4.6,9.7,3.76,14.96,14.46,3.42,5.05,22.62,4.1,9.04,6.56,12.88,6.27,22.8,18.98,16.18,7.85,3.03,9.61,5.87,6.94,2.14,12.46,1.84
2013-01-09,1689.93,6.62,3.05,6.65,60.88,7.64,5.22,4.6,9.8,3.73,14.84,14.48,3.45,5.12,22.54,4.08,9.04,6.56,13,6.33,23,19,16.16,7.89,2.99,9.6,5.86,6.92,2.12,12.34,1.84
2013-01-10,1684.57,6.64,2.98,6.66,61.1,7.63,5.15,4.6,9.74,3.75,14.84,14.48,3.46,5.03,22.5,4.15,9.02,6.56,12.86,6.31,22.94,18.98,16.18,7.83,3,9.57,5.86,6.9,2.1,12.32,1.82
2013-01-11,1682.7,6.64,2.99,6.69,60.9,7.66,5.17,4.58,9.51,3.61,14.98,14.42,3.45,5.05,22.48,4.09,9,6.55,13,6.23,22.96,18.98,16.2,7.9,3,9.59,5.82,6.92,2.15,12.4,1.81
2013-01-14,1684.63,6.64,3,6.69,60.3,7.67,5.18,4.61,9.59,3.56,14.98,14.42,3.46,5.06,22.46,4.11,9.03,6.56,13,6.26,22.96,19,16.22,7.89,2.99,9.56,5.79,6.93,2.15,12.44,1.81
2013-01-15,1685.89,6.64,3,6.68,60.56,7.67,5.19,4.6,9.57,3.55,14.98,14.16,3.46,5.06,22.04,4.19,9.04,6.56,13,6.3,22.98,19.02,16.24,8,3,9.59,5.74,6.94,2.2,12.7,1.81
2013-01-16,1682.95,6.65,3.01,6.66,60,7.66,5.17,4.6,9.67,3.53,14.94,14.3,3.46,5,21.9,4.25,9.04,6.56,13.18,6.32,22.98,19.02,16.2,7.9,3,9.59,5.66,6.97,2.2,12.64,1.78
2013-01-17,1681.09,6.59,2.96,6.66,59.98,7.61,5.14,4.6,9.78,3.67,14.8,14.52,3.45,4.99,21.86,4.26,9.02,6.54,13.1,6.29,22.98,19,16.18,7.95,2.95,9.52,5.66,6.99,2.29,12.64,1.79
2013-01-18,1676.44,6.54,2.9,6.64,59.9,7.58,5.14,4.57,9.8,3.66,14.68,13.9,3.45,4.99,21.9,4.29,9,6.54,13.02,6.3,23,18.98,16.14,7.92,2.96,9.39,5.6,6.99,2.29,12.6,1.8
2013-01-21,1635.63,6.42,2.8,6.3,59.5,7.24,4.93,4.42,9.58,3.56,14.4,13.52,3.3,4.96,21.88,4.2,8.86,6.42,12.52,6.22,22.8,18.5,15.8,7.77,2.87,9.22,5.58,6.9,2.18,12.22,1.76
2013-01-22,1628.66,6.36,2.8,6.36,58.6,7.22,4.91,4.5,9.6,3.59,14.08,13.6,3.33,4.96,21.7,4.24,8.87,6.35,12.28,6.08,22.64,18.5,15.6,7.68,2.94,9.22,5.55,6.92,2.15,11.8,1.75
2013-01-23,1635.25,6.36,2.84,6.43,59,7.24,4.94,4.51,9.58,3.64,14.14,13.7,3.33,4.95,21.8,4.28,8.9,6.38,12.24,6.13,22.9,18.78,15.7,7.71,2.94,9.25,5.55,6.96,2.14,11.78,1.73
2013-01-25,1637.13,6.37,2.86,6.37,58.34,7.21,4.93,4.59,9.6,3.7,14.22,13.7,3.3,4.93,21.86,4.35,8.9,6.38,12.4,6.07,23,18.9,15.68,7.76,2.95,9.29,5.57,7.05,2.19,12.1,1.73
2013-01-29,1637.34,6.36,2.83,6.35,57.06,7.24,4.94,4.59,9.52,3.7,14.12,13.5,3.21,4.99,22.06,4.53,8.91,6.36,12.7,6.03,23,18.82,15.64,7.72,2.9,9.37,5.58,7.06,2.21,12.16,1.71
2013-01-30,1627.73,6.35,2.8,6.29,57.44,7.22,4.93,4.59,9.35,3.67,14.16,13.76,3.25,4.97,21.74,4.49,8.9,6.37,12.44,6.01,22.8,18.72,15.52,7.74,2.86,9.29,5.56,7,2.16,12.14,1.69
2013-01-31,1627.55,6.36,2.79,6.3,57.4,7.21,4.92,4.58,9.5,3.67,14.24,13.84,3.29,4.97,21.7,4.45,8.88,6.37,12.46,5.95,22.78,18.56,15.52,7.74,2.92,9.3,5.55,7,2.2,12.14,1.65
2013-02-04,1634.55,6.37,2.79,6.3,58.8,7.25,4.92,4.57,9.6,3.76,14.42,13.8,3.3,4.93,21.66,5.22,8.97,6.43,12.44,6.07,22.78,18.56,15.6,7.73,2.96,9.3,5.54,7.03,2.19,12.06,1.65
2013-02-05,1633.35,6.37,2.77,6.29,59,7.19,4.92,4.57,9.58,3.77,14.6,13.5,3.3,4.88,21.58,5.25,8.96,6.42,12.38,6.06,22.78,18.58,15.68,7.72,2.93,9.3,5.48,7.03,2.17,12.18,1.65
2013-02-06,1614.14,6.37,2.75,6.16,57.9,7.15,4.66,4.54,9.46,3.64,14.3,13.56,3.26,4.86,20.98,5.25,8.96,6.41,12.16,6,22.54,18.38,15.72,7.66,2.86,9.27,5.33,6.99,2.01,12.2,1.58
2013-02-07,1619.57,6.39,2.79,6.24,57.8,7.15,4.82,4.5,9.59,3.7,14.34,13.48,3.26,4.79,21.12,5.27,8.97,6.39,12.1,6,22.54,18.3,15.82,7.64,2.85,9.27,5.3,6.93,2.03,12.26,1.57
2013-02-08,1623.8,6.38,2.76,6.26,58,7.18,4.8,4.5,9.67,3.78,14.44,13.48,3.3,4.85,21.3,5.31,8.98,6.4,12,6,22.44,18.3,15.86,7.64,2.85,9.26,5.3,6.97,2.03,12.26,1.57
2013-02-13,1631.16,6.4,2.8,6.29,58.4,7.25,4.8,4.51,9.73,3.73,14.5,13.66,3.32,4.84,21.68,5.37,8.98,6.44,12.06,6.1,22.44,18.46,15.98,7.74,2.89,9.25,5.3,6.99,2.11,12.42,1.56
2013-02-14,1630.89,6.34,2.8,6.3,58.2,7.16,4.8,4.49,9.78,3.72,14.54,13.48,3.26,4.86,21.7,5.31,8.98,6.41,12.02,6.15,22.78,18.44,16,7.73,2.93,9.24,5.29,7,2.22,12.36,1.56
2013-02-15,1627.93,6.29,2.77,6.3,58,7.08,4.8,4.49,9.84,3.7,14.52,13.42,3.29,4.92,21.5,5.3,8.91,6.41,12.24,6.15,22.7,18.44,16.02,7.76,2.93,9.24,5.29,6.95,2.24,12.1,1.57
2013-02-18,1620.93,6.28,2.78,6.27,57.68,7,4.77,4.46,9.78,3.74,14.4,13.5,3.3,4.88,21.28,5.29,8.87,6.36,12.14,6.13,22.72,18.46,15.96,7.65,2.9,9.22,5.25,6.97,2.24,12.12,1.56
2013-02-19,1615.07,6.27,2.76,6.23,56.82,6.98,4.73,4.47,9.64,3.67,14.36,13.5,3.32,4.88,21.2,5.3,8.84,6.36,12.28,6.17,22.68,18.28,15.9,7.69,2.87,9.23,5.22,6.93,2.21,11.98,1.58
2013-02-20,1613.33,6.26,2.74,6.21,56.78,6.98,4.61,4.47,9.63,3.63,14.4,13.5,3.34,4.9,21.32,5.29,8.9,6.32,12.28,6.21,22.64,18.2,15.9,7.69,2.87,9.21,5.15,6.93,2.21,12.06,1.6
2013-02-21,1614.05,6.27,2.74,6.33,57,7.07,4.58,4.49,9.58,3.56,14.4,13.7,3.35,4.9,20.6,5.31,8.93,6.3,12.38,6.29,22.8,18.22,15.7,7.66,2.87,9.2,5.18,6.93,2.22,12,1.6
2013-02-22,1622.08,6.29,2.73,6.37,57,7.05,4.55,4.5,9.67,3.63,14.5,13.8,3.39,5.03,20.6,5.28,9.07,6.31,12.54,6.21,23.36,18.2,15.74,7.68,2.87,9.21,5.21,6.91,2.28,12.1,1.62
2013-02-25,1627.35,6.29,2.71,6.35,57.6,7.07,4.58,4.48,9.64,3.65,14.5,13.8,3.41,5.02,20.84,5.27,9.15,6.34,12.46,6.25,23.38,18.26,15.82,7.7,2.86,9.19,5.32,6.93,2.29,12.1,1.64
2013-02-26,1624.18,6.3,2.7,6.33,58.3,7.07,4.56,4.44,9.55,3.57,14.44,14,3.41,4.93,20.84,5.28,9.14,6.35,12.2,6.26,23.5,18.26,15.92,7.76,2.88,9.17,5.33,6.93,2.28,12.1,1.63
2013-02-27,1624.14,6.26,2.69,6.34,58.24,7.11,4.57,4.43,9.42,3.57,14.52,14.34,3.41,4.88,20.66,5.29,9.12,6.36,12.22,6.25,23.5,18.36,15.98,7.75,2.87,9.17,5.32,6.93,2.28,12.3,1.63
2013-02-28,1637.63,6.32,2.71,6.4,61,7.2,4.57,4.49,9.49,3.7,14.58,14.38,3.43,4.9,20.74,5.27,9.15,6.37,12.38,6.35,23.52,18.32,16.12,7.85,2.9,9.21,5.32,6.94,2.29,12.8,1.65
2013-03-01,1637.44,6.32,2.79,6.36,60,7.24,4.57,4.48,9.8,3.63,14.52,14.46,3.46,4.85,20.8,5.28,9.1,6.38,12.42,6.39,23.02,18.32,16.1,7.86,2.87,9.21,5.3,6.9,2.4,12.74,1.65
2013-03-04,1635.98,6.3,2.81,6.38,59.5,7.2,4.57,4.44,9.79,3.61,14.58,14.4,3.45,4.85,20.64,5.31,9.05,6.42,12.38,6.4,23.32,18.3,16.1,7.82,2.9,9.19,5.3,6.92,2.5,12.76,1.65
2013-03-05,1642.08,6.31,2.81,6.39,60.18,7.19,4.68,4.48,9.85,3.61,14.5,14.58,3.45,4.9,20.52,5.28,9.1,6.44,12.12,6.36,23.44,18.4,16.12,7.87,2.95,9.19,5.32,6.96,2.59,12.98,1.66
2013-03-06,1651.84,6.34,2.82,6.4,61,7.2,4.67,4.61,10.02,3.57,14.4,14.64,3.5,5,20.7,5.28,9.11,6.46,12.34,6.37,23.5,18.5,16.18,8,2.98,9.19,5.32,7,2.54,13.76,1.69
2013-03-07,1650.93,6.33,2.81,6.4,62.3,7.25,4.67,4.59,9.9,3.53,14.48,14.64,3.51,4.94,20.62,5.26,9.14,6.47,12.34,6.39,23.3,18.5,16.14,8,2.99,9.2,5.32,6.98,2.47,13.86,1.67
